"REF_DATE","GEO","DGUID","Commodity groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","116.3","","","","1"
"2018-02","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","114.6","","","","1"
"2018-03","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","117.9","","","","1"
"2018-04","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","114.6","","","","1"
"2018-05","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","114.5","","","","1"
"2018-06","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","114.2","","","","1"
"2018-07","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","115.7","","","","1"
"2018-08","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","123.2","","","","1"
"2018-09","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","118.9","","","","1"
"2018-10","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","114.0","","","","1"
"2018-11","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","113.0","","","","1"
"2018-12","Canada","2016A000011124","Fresh fruit [A14]","Index, 2007=100","181","units ","0","v66449857","1.6","112.4","","","","1"
"2016-01","Canada","2016A000011124","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units ","0","v66449858","1.7","140.1","","","","1"
"2016-02","Canada","2016A000011124","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units ","0","v66449858","1.7","140.0","","","","1"
"2016-03","Canada","2016A000011124","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units ","0","v66449858","1.7","139.1","","","","1"
"2016-04","Canada","2016A000011124","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units ","0","v66449858","1.7","136.9","","","","1"
"2016-05","Canada","2016A000011124","Fresh vegetables (except potatoes and pulse crops) [A15]","Index, 2007=100","181","units ","0","v66449858","1.7","135.9","","","","1"
