"REF_DATE","GEO","DGUID","Commodity","Destinations","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-03","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","9395","","","","0"
"2016-04","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","5286","","","","0"
"2016-05","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","4529","","","","0"
"2016-06","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","6642","","","","0"
"2016-07","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","8785","","","","0"
"2016-08","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","21393","","","","0"
"2016-09","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","24551","","","","0"
"2016-10","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","13563","","","","0"
"2016-11","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","12029","","","","0"
"2016-12","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","6175","","","","0"
"2017-01","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","6184","","","","0"
"2017-02","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","5550","","","","0"
"2017-03","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","7324","","","","0"
"2017-04","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","7477","","","","0"
"2017-05","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","8312","","","","0"
"2017-06","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","15186","","","","0"
"2017-07","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","14454","","","","0"
"2017-08","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","15607","","","","0"
"2017-09","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","19767","","","","0"
"2017-10","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","19996","","","","0"
"2017-11","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","7227","","","","0"
"2017-12","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","8394","","","","0"
"2018-01","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","14230","","","","0"
"2018-02","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","12103","","","","0"
"2018-03","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","12991","","","","0"
"2018-04","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","20177","","","","0"
"2018-05","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","23480","","","","0"
"2018-06","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","18457","","","","0"
"2018-07","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","19621","","","","0"
"2018-08","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","41807","","","","0"
"2018-09","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","28097","","","","0"
"2018-10","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","17065","","","","0"
"2018-11","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","10302","","","","0"
"2018-12","Canada","2016A000011124","Rye","Total exports, all destinations","Tonnes","288","units ","0","v125030","1.5.1","7399","","","","0"
"2016-01","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","80097","","","","0"
"2016-02","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","32041","","","","0"
"2016-03","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","74963","","","","0"
"2016-04","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","50517","","","","0"
"2016-05","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","41937","","","","0"
"2016-06","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","50818","","","","0"
"2016-07","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","67703","","","","0"
"2016-08","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","65502","","","","0"
"2016-09","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","52854","","","","0"
"2016-10","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","12869","","","","0"
"2016-11","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","35363","","","","0"
"2016-12","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","55048","","","","0"
"2017-01","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","62622","","","","0"
"2017-02","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","52651","","","","0"
"2017-03","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","45250","","","","0"
"2017-04","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","29500","","","","0"
"2017-05","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","28226","","","","0"
"2017-06","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","32591","","","","0"
"2017-07","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","27536","","","","0"
"2017-08","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","38554","","","","0"
"2017-09","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","22659","","","","0"
"2017-10","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","45407","","","","0"
"2017-11","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","31242","","","","0"
"2017-12","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","52155","","","","0"
"2018-01","Canada","2016A000011124","Flaxseed","Total exports, all destinations","Tonnes","288","units ","0","v125069","1.6.1","85914","","","","0"
