"REF_DATE","GEO","DGUID","Commodity","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-03","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1779","","","","0"
"2019-04","Canada","2016A000011124","Creamery butter","Imports","Tonnes","288","units ","0","v381845","1.1.4","1307","","","","0"
"2016-01","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","13412","","","","0"
"2016-02","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","13924","","","","0"
"2016-03","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","15480","","","","0"
"2016-04","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","18431","","","","0"
"2016-05","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","19496","","","","0"
"2016-06","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","20360","","","","0"
"2016-07","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","18802","","","","0"
"2016-08","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","15295","","","","0"
"2016-09","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","13058","","","","0"
"2016-10","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","14627","","","","0"
"2016-11","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","13239","","","","0"
"2016-12","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","11571","","","","0"
"2017-01","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","13811","","","","0"
"2017-02","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","19875","","","","0"
"2017-03","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","24897","","","","0"
"2017-04","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28441","","","","0"
"2017-05","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28224","","","","0"
"2017-06","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","29580","","","","0"
"2017-07","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28507","","","","0"
"2017-08","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","28183","","","","0"
"2017-09","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","24724","","","","0"
"2017-10","Canada","2016A000011124","Creamery butter","Ending stocks","Tonnes","288","units ","0","v381846","1.1.5","24642","","","","0"
